stream_id,point_name,brick_class,event_time,value,site_id
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-01T00:03:16.305000000,18.8,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-01T08:33:16.289000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-01T17:03:16.284000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-02T01:23:16.153000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-02T09:53:16.110000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-02T18:23:16.200000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-03T02:43:15.364000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-03T11:13:16.260000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-03T19:43:17.209000000,17.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-04T04:03:17.349000000,18.4,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-04T12:33:16.393000000,19.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-04T21:03:17.539000000,22.6,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-05T05:23:17.358000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-05T13:53:16.087000000,20.2,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-05T22:23:17.692000000,23.2,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-06T06:43:17.089000000,17.4,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-06T15:13:16.338000000,23.6,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-06T23:33:17.279000000,16.4,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-07T08:03:15.915000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-07T16:33:16.233000000,20.6,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-08T00:53:17.948000000,23.6,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-08T09:23:16.855000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-08T19:53:16.771000000,18.2,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-09T04:13:16.261000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-09T12:43:16.324000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-09T21:13:15.589000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-10T05:33:16.537000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-10T14:03:17.046000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-10T22:33:18.226000000,21.8,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-11T06:53:18.703000000,21.2,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-11T15:23:17.095000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-11T23:43:18.307000000,21.2,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-12T08:13:16.917000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-12T16:43:17.022000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-13T01:03:18.306000000,21.2,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-13T09:33:17.280000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-13T18:03:17.375000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-14T02:23:18.243000000,17.2,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-14T10:53:17.427000000,15.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-14T19:23:18.439000000,25.4,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-15T03:43:18.612000000,18.8,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-15T12:13:17.636000000,25.4,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-15T20:43:17.517000000,32.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-16T05:03:17.217000000,30.8,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-16T13:33:18.034000000,32.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-16T22:03:18.842000000,32.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-17T06:23:18.707000000,30.8,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-17T14:53:18.177000000,32.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-17T23:13:19.472000000,32.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-18T07:43:18.382000000,21.2,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-18T16:13:18.198000000,32.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-19T00:33:19.915000000,32.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-19T09:03:20.126000000,24.8,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-19T17:33:19.836000000,32.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-20T01:53:20.997000000,26.6,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-20T10:23:21.183000000,17.6,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-20T18:53:20.098000000,32.0,Site_B
213ac15b_3fbd_40b7_b59b_43ab87a09260,Max_Temperature_Setpoint_Limit,Max_Temperature_Setpoint_Limit,2021-01-21T03:13:20.890000000,21.8,Site_B
